,Chuva,Pres,Pres_max,Pres_min,Radiacao,Temp,Temp_orvalho,Temp_max,Temp_min,Temp_orvalho_max,Temp_orvalho_min,Umid_max,Umid_min,Umid,Dir_vento,Rajada_vento,Vel_vento,dc_nome
0,0.0,928.0,928.5,927.9,3172.193,25.2,20.9,25.4,24.1,21.1,17.9,79.0,67.0,77.0,114.0,6.1,2.5,SÃO PAULO - INTERLAGOS
1,0.0,927.0,928.0,927.0,2641.099,25.0,19.4,25.4,24.5,20.2,18.7,77.0,68.0,71.0,113.0,5.4,2.8,SÃO PAULO - INTERLAGOS
2,0.0,926.3,927.0,926.3,2532.92,25.0,20.9,25.7,24.7,21.2,19.1,79.0,67.0,78.0,134.0,6.1,3.0,SÃO PAULO - INTERLAGOS
3,0.0,926.1,926.3,926.1,1808.712,23.4,20.5,25.4,23.3,21.3,20.0,84.0,74.0,84.0,141.0,8.2,3.9,SÃO PAULO - INTERLAGOS
4,0.0,926.1,926.3,926.1,827.677,22.1,20.8,23.5,22.0,21.0,20.1,93.0,83.0,92.0,138.0,8.2,3.0,SÃO PAULO - INTERLAGOS
5,0.0,926.4,926.4,926.1,163.443,21.2,20.6,22.1,21.2,21.1,20.5,97.0,92.0,96.0,117.0,7.7,2.3,SÃO PAULO - INTERLAGOS
6,0.0,926.7,926.7,926.3,1.217,21.0,20.7,21.3,20.9,20.8,20.5,98.0,96.0,98.0,141.0,6.7,2.1,SÃO PAULO - INTERLAGOS
7,0.0,927.0,927.0,926.7,-2.056,21.0,21.0,21.2,20.9,21.1,20.6,100.0,98.0,100.0,120.0,4.6,2.2,SÃO PAULO - INTERLAGOS
8,0.0,927.3,927.3,927.0,-1.48,21.0,20.8,21.1,20.9,21.0,20.6,100.0,98.0,98.0,109.0,4.4,1.6,SÃO PAULO - INTERLAGOS
9,0.0,927.4,927.4,927.3,-1.424,21.0,21.0,21.1,21.0,21.0,20.6,100.0,98.0,100.0,126.0,4.3,1.4,SÃO PAULO - INTERLAGOS
10,0.0,927.0,927.5,927.0,-1.474,21.1,21.1,21.1,21.0,21.1,21.0,100.0,100.0,100.0,109.0,3.7,1.2,SÃO PAULO - INTERLAGOS
11,0.0,926.3,927.0,926.3,-1.32,21.2,21.2,21.2,21.0,21.2,21.1,100.0,100.0,100.0,106.0,2.5,1.0,SÃO PAULO - INTERLAGOS
12,0.0,925.7,926.3,925.7,-1.46,21.4,19.8,21.7,21.1,21.3,19.8,100.0,90.0,91.0,15.0,4.3,1.1,SÃO PAULO - INTERLAGOS
13,0.0,925.1,925.7,925.1,-3.6,20.7,19.8,21.4,20.7,19.8,19.5,94.0,91.0,94.0,33.0,3.4,1.0,SÃO PAULO - INTERLAGOS
14,0.0,924.2,925.1,924.2,-3.6,20.8,19.7,20.9,20.5,19.9,19.7,96.0,93.0,93.0,18.0,4.9,1.8,SÃO PAULO - INTERLAGOS
15,0.0,924.0,924.3,923.9,-3.6,20.5,19.8,20.8,20.5,19.8,19.7,96.0,93.0,96.0,20.0,4.5,1.1,SÃO PAULO - INTERLAGOS
16,0.0,923.6,924.0,923.6,-3.6,20.3,19.7,20.5,20.3,19.8,19.6,97.0,96.0,96.0,360.0,4.0,1.3,SÃO PAULO - INTERLAGOS
17,0.0,924.1,924.1,923.6,-3.6,20.0,19.8,20.3,20.0,19.8,19.7,99.0,96.0,98.0,358.0,3.7,1.3,SÃO PAULO - INTERLAGOS
18,0.0,924.9,924.9,924.1,107.269,20.4,19.8,20.4,19.5,20.2,19.5,100.0,96.0,96.0,330.0,3.1,0.6,SÃO PAULO - INTERLAGOS
19,0.0,925.9,925.9,924.9,835.138,22.3,19.8,22.3,20.4,20.1,19.5,96.0,86.0,86.0,342.0,3.1,1.5,SÃO PAULO - INTERLAGOS
20,0.0,926.6,926.6,925.9,1573.701,24.6,19.0,25.2,22.3,20.3,19.0,86.0,70.0,71.0,350.0,3.6,1.9,SÃO PAULO - INTERLAGOS
21,0.0,926.3,926.6,926.3,2317.379,27.3,19.3,27.3,24.6,20.4,18.5,76.0,59.0,62.0,329.0,6.5,2.4,SÃO PAULO - INTERLAGOS
22,0.0,926.0,926.3,926.0,2811.704,28.8,18.3,28.9,27.1,19.3,17.7,62.0,51.0,53.0,321.0,7.7,3.7,SÃO PAULO - INTERLAGOS
23,0.0,925.3,926.0,925.2,2960.433,31.1,18.2,31.3,28.8,19.7,17.0,55.0,46.0,46.0,309.0,7.7,2.7,SÃO PAULO - INTERLAGOS
24,0.0,924.3,925.3,924.2,2995.813,31.6,18.4,31.9,30.0,19.7,16.2,51.0,39.0,46.0,306.0,7.9,3.0,SÃO PAULO - INTERLAGOS
